"ID","gamedate","Day","Time","League","HomeTeam","AwayTeam","bet_type","HOY.Odds","HOY.SpreadTotal","D.Odds","AUN.Odds","AUN.SpreadTotal","HOY_ImpliedOdds","AUN_ImpliedOdds","D_ImpliedOdds","HOY_ProjOdds1","AUN_ProjOdds1","D_ProjOdds1","HOY_ProjOdds2","AUN_ProjOdds2","D_ProjOdds2","HOY_ProjOdds","AUN_ProjOdds","D_ProjOdds","HOY.Odds_Diff","AUN.Odds_Diff","D.Odds_Diff","Pick","Pick_Odds","Pick_SpreadTotal","Pick_WinProb","Pick_LoseProb","Pick_Edge","Fract_Odds","Kelly_Criteria","EV","bet_type_full","Machine_Odds","KC_tier","run_timestamp"
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt TT",525,1.5,,-850,1.5,0.16,0.894736842105263,,0.126421336622834,0.873578663310749,,0.204849381716931,0.795150618283069,,0.165635359169882,0.834364640796909,,0.00563535916988245,-0.0603722013083542,,"Over",525,1.5,0.165635359169882,0.834364640796909,0.00563535916988245,5.25,0.00670876091652671,0.352209948449739,"Total Goals O/U - Burnley - 1.5",504,"0",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt TT",-1700,0.5,,850,0.5,0.944444444444444,0.105263157894737,,0.904652815615985,0.0953113906350896,,0.845586823620728,0.154413176379272,,0.875119819618356,0.124862283507181,,-0.0693246248260881,0.0195991256124442,,"Under",850,0.5,0.124862283507181,0.875119819618356,0.0195991256124442,8.5,0.0219049050962612,1.86209590192683,"Total Goals O/U - Manchester City - 0.5",701,"0",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt TT",-285,1.5,,225,1.5,0.74025974025974,0.307692307692308,,0.680613293544684,0.31935091270639,,0.675142631652406,0.324857368347594,,0.677877962598545,0.322104140526992,,-0.0623817776611951,0.0144118328346843,,"Under",225,1.5,0.322104140526992,0.677877962598545,0.0144118328346843,2.25,0.0208170918723219,0.468563535871869,"Total Goals O/U - Manchester City - 1.5",210,"0",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","TT",108,2.5,,-128,2.5,0.480769230769231,0.56140350877193,,0.417298976570184,0.582665229680891,,0.514294963380321,0.485705036619679,,0.465796969975252,0.534185133150285,,-0.0149722607939783,-0.0272183756216451,,"Over",108,2.5,0.465796969975252,0.534185133150285,-0.0149722607939783,1.08,-0.028835465232847,-0.311244055770119,"Total Goals O/U - Manchester City - 2.5",115,"-0.05",2022-04-01 00:29:54
"BurnleyManchesterCity202204021500",2022-04-02,"Sat","15:00","EPL","Burnley","Manchester City","Alt TT",270,3.5,,-350,3.5,0.27027027027027,0.777777777777778,,0.210982909706225,0.78898129654485,,0.311604507621214,0.688395492378786,,0.26129370866372,0.738688394461818,,-0.00897656160655069,-0.0390893833159601,,"Over",270,3.5,0.26129370866372,0.738688394461818,-0.00897656160655069,2.7,-0.0123012140534213,-0.331953810697748,"Total Goals O/U - Manchester City - 3.5",283,"-0.05",2022-04-01 00:29:54
"ChelseaBrentford202204021500",2022-04-02,"Sat","15:00","EPL","Chelsea","Brentford","ML",-295,,400,825,,0.746835443037975,0.108108108108108,0.2,0.661477981856976,0.142733718371594,0.19578829977143,0.645754727894997,0.151270094325953,0.20297517777905,0.653616354875987,0.147001906348773,0.19938173877524,-0.093219088161988,0.0388937982406652,-0.000618261224760053,"Brentford",825,,0.147001906348773,0.852998093651227,0.0388937982406652,8.25,0.0436081980274125,3.59767633726154,"3-Way Moneyline",580,"0",2022-04-01 00:29:54
"ChelseaBrentford202204021500",2022-04-02,"Sat","15:00","EPL","Chelsea","Brentford","Alt Spread",-285,-0.5,,225,0.5,0.74025974025974,0.307692307692308,,0.661477981856976,0.338508008658969,,0.645754727894997,0.35424527458853,,0.653616354875987,0.346376641623749,,-0.0866433853837536,0.0386843339314416,,"Brentford",225,0.5,0.346376641623749,0.653616354875987,0.0386843339314416,2.25,0.0558773712343045,1.25731088777449,"Alternate Spread - Home: -0.5",189,"0.05",2022-04-01 00:29:54
"ChelseaBrentford202204021500",2022-04-02,"Sat","15:00","EPL","Chelsea","Brentford","Alt Spread",-188,-1,,155,1,0.652777777777778,0.392156862745098,,0.421019538636878,0.338508008658969,,0.4136746556893,0.300113536715703,,0.417347097163089,0.319310772687336,,-0.235430680614689,-0.0728460900577619,,"Brentford",155,1,0.319310772687336,0.417347097163089,-0.0728460900577619,1.55,-0.119843567514383,0.77584600502282,"Alternate Spread - Home: -1",213,"-0.15",2022-04-01 00:29:54
"ChelseaBrentford202204021500",2022-04-02,"Sat","15:00","EPL","Chelsea","Brentford","Alt Spread",190,-2,,-235,2,0.344827586206897,0.701492537313433,,0.220285888995735,0.578966451879067,,0.206336064758586,0.53137082104659,,0.21331097687716,0.555168636462828,,-0.131516609329736,-0.146323900850605,,"Chelsea",190,-2,0.21331097687716,0.555168636462828,-0.131516609329736,1.9,-0.200735877398018,-1.49877780396223,"Alternate Spread - Home: -2",369,"-0.25",2022-04-01 00:29:54
"ChelseaBrentford202204021500",2022-04-02,"Sat","15:00","EPL","Chelsea","Brentford","Alt Spread",260,-2.5,,-330,2.5,0.277777777777778,0.767441860465116,,0.220285888995735,0.77970010152021,,0.222363883086506,0.777636116913494,,0.22132488604112,0.778668109216852,,-0.0564528917366575,0.0112262487517358,,"Brentford",-330,2.5,0.778668109216852,0.22132488604112,0.0112262487517358,0.303030303030303,0.0482728696324645,15.0904023315255,"Alternate Spread - Home: -2.5",-352,"0",2022-04-01 00:29:54
