"game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","description","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate","copyright","totalItems","totalEvents","totalGames","totalGamesInProgress"
662482,"/api/v1.1/game/662482/feed/live","R","2022","2022-07-02T20:05:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662482-2022-07-02","2022","day",NA,9,FALSE,120,4,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,5,TRUE,FALSE,25,36,40,"0.474",146,"Miami Marlins","/api/v1/teams/146",3,FALSE,FALSE,25,29,51,"0.363",120,"Washington Nationals","/api/v1/teams/120",3309,"Nationals Park","/api/v1/venues/3309","/api/v1/game/662482/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
661103,"/api/v1.1/game/661103/feed/live","R","2022","2022-07-02T20:05:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-661103-2022-07-02","2022","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,4,FALSE,FALSE,26,45,35,"0.563",158,"Milwaukee Brewers","/api/v1/teams/158",7,TRUE,FALSE,25,32,46,"0.41",134,"Pittsburgh Pirates","/api/v1/teams/134",31,"PNC Park","/api/v1/venues/31","/api/v1/game/661103/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662890,"/api/v1.1/game/662890/feed/live","R","2022","2022-07-02T20:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662890-2022-07-02","2022","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,1,FALSE,FALSE,25,37,43,"0.463",108,"Los Angeles Angels","/api/v1/teams/108",9,TRUE,FALSE,26,50,27,"0.649",117,"Houston Astros","/api/v1/teams/117",2392,"Minute Maid Park","/api/v1/venues/2392","/api/v1/game/662890/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662904,"/api/v1.1/game/662904/feed/live","R","2022","2022-07-02T20:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662904-2022-07-02","2022","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,3,FALSE,FALSE,25,28,48,"0.368",118,"Kansas City Royals","/api/v1/teams/118",4,TRUE,FALSE,25,30,46,"0.395",116,"Detroit Tigers","/api/v1/teams/116",2394,"Comerica Park","/api/v1/venues/2394","/api/v1/game/662904/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662163,"/api/v1.1/game/662163/feed/live","R","2022","2022-07-02T20:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662163-2022-07-02","2022","day",NA,9,FALSE,120,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,1,FALSE,FALSE,25,26,54,"0.325",133,"Oakland Athletics","/api/v1/teams/133",2,TRUE,FALSE,25,38,42,"0.475",136,"Seattle Mariners","/api/v1/teams/136",680,"T-Mobile Park","/api/v1/venues/680","/api/v1/game/662163/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662456,"/api/v1.1/game/662456/feed/live","R","2022","2022-07-02T20:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662456-2022-07-02","2022","day",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,7,TRUE,FALSE,25,37,39,"0.487",140,"Texas Rangers","/api/v1/teams/140",3,FALSE,FALSE,25,48,30,"0.615",121,"New York Mets","/api/v1/teams/121",3289,"Citi Field","/api/v1/venues/3289","/api/v1/game/662456/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663037,"/api/v1.1/game/663037/feed/live","R","2022","2022-07-02T20:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-663037-2022-07-02","2022","day",NA,9,FALSE,NA,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,4,TRUE,FALSE,25,46,33,"0.582",144,"Atlanta Braves","/api/v1/teams/144",1,FALSE,FALSE,25,26,51,"0.338",113,"Cincinnati Reds","/api/v1/teams/113",2602,"Great American Ball Park","/api/v1/venues/2602","/api/v1/game/663037/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
663198,"/api/v1.1/game/663198/feed/live","R","2022","2022-07-02T23:15:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-663198-2022-07-02","2022","night",NA,9,FALSE,145,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,1,FALSE,FALSE,25,43,35,"0.551",111,"Boston Red Sox","/api/v1/teams/111",3,TRUE,FALSE,25,32,46,"0.41",112,"Chicago Cubs","/api/v1/teams/112",17,"Wrigley Field","/api/v1/venues/17","/api/v1/game/663198/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662718,"/api/v1.1/game/662718/feed/live","R","2022","2022-07-02T23:15:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662718-2022-07-02","2022","day",NA,9,FALSE,145,4,3,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,2,FALSE,FALSE,25,46,34,"0.575",135,"San Diego Padres","/api/v1/teams/135",7,TRUE,FALSE,25,49,28,"0.636",119,"Los Angeles Dodgers","/api/v1/teams/119",22,"Dodger Stadium","/api/v1/venues/22","/api/v1/game/662718/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662910,"/api/v1.1/game/662910/feed/live","R","2022","2022-07-03T01:10:00Z","2022-07-02",FALSE,1,TRUE,"N","P","N","14-662910-2022-07-02","2022","night",NA,9,FALSE,120,3,2,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"FALSE",NA,7,FALSE,FALSE,25,35,43,"0.449",109,"Arizona Diamondbacks","/api/v1/teams/109",11,TRUE,FALSE,25,34,44,"0.436",115,"Colorado Rockies","/api/v1/teams/115",19,"Coors Field","/api/v1/venues/19","/api/v1/game/662910/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
