Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Stephen Scott","BOS",3,13,12,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.222617,0.0952147,0.221616,0.429637,0.301463,0.355631,0.290637,0.657093,0.133013,3.35742,0.272081,,-0.00790021,1.28138,-0.196066,82.4913,-0.00790021,0,-0.26247352827340364,0.04745553433895111,0.0205522,999,,,,"sa3011469"
"Kyle Lewis","ARI",76,324,291,66,44,12,0,10,34,37,28,0,91,2,2,0,6,1,0,0.227729,0.0863629,0.282168,0.306069,0.298102,0.375749,0.296998,0.67385,0.14802,2.53425,0.29302,,-0.236652,33.7367,-3.27676,88.6077,-0.236652,-1.54,-4.521087244153023,-6.156496047973633,0.020343,572.77001953125,,,,"19508"
"Maikel Garcia","KCR",2,7,6,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.247958,0.0671404,0.192931,0.348001,0.299443,0.338761,0.281639,0.638204,0.0908037,5.22152,0.302096,,0.0108934,0.622851,-0.151066,78.4962,0.0108934,0.03,-0.15288471337407827,0.12259258888661861,0.019411,724.3800048828125,,,,"22715"
"Patrick Mazeika","LAD",2,6,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.213713,0.0644973,0.174562,0.369481,0.275143,0.319354,0.264742,0.594497,0.105641,1.7,0.243321,,-0.00526325,0.468752,-0.213109,70.0259,-0.00526325,0.04,-0.21292824344709516,0.19432098418474197,0.0190741,999,,,,"18142"
"Joey Ortiz","BAL",2,7,6,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.242527,0.0636683,0.194464,0.327404,0.295392,0.347022,0.28311,0.642415,0.104496,3.83733,0.290936,,-0.00319998,0.641082,-0.145502,83.067,-0.00319998,0,-0.13427670067176223,0.09259258955717087,0.0185847,999,,,,"sa3009889"
"Dustin Harris","TEX",3,14,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0.241856,0.0680133,0.213994,0.317829,0.298727,0.376302,0.296038,0.67503,0.134447,4.83165,0.290184,,0.00764896,1.41874,-0.149277,91.8957,0.00764896,0,-0.11740980623289943,-0.15109434723854065,0.0175803,999,,,,"sa3010279"
"Alexander Canario","CHC",6,27,25,6,3,1,0,1,3,3,2,0,8,0,0,0,0,0,0,0.220011,0.0702917,0.302617,0.232279,0.279547,0.382774,0.289142,0.66232,0.162763,4.78734,0.288379,,0.0110654,2.69059,-0.449285,85.3752,0.0110654,0,-0.455509677529335,-0.3025588095188141,0.0172354,999,,,,"sa3003316"
"Kyle McCann","OAK",5,18,16,3,2,1,0,0,1,2,1,0,7,0,0,0,0,0,0,0.174324,0.0782701,0.388055,0.201698,0.247363,0.289946,0.241772,0.537309,0.115622,2.30643,0.270914,,-0.0130247,1.09444,-0.978614,58.8662,-0.0130247,0.05,-0.8522065607830882,0.43580247834324837,0.0167939,999,,,,"sa1159677"
"Willie MacIver","COL",10,38,34,8,5,2,0,1,4,4,2,0,10,0,0,0,1,0,0,0.223349,0.0627519,0.270446,0.232032,0.280524,0.356532,0.280555,0.637055,0.133182,4.63718,0.288645,,0.000340917,3.43644,-0.873775,64.2414,0.000340917,-0.32,-1.5656886317010503,0.451604962348938,0.015947,999,,,,"sa3007828"
"Billy Hamilton",,5,21,19,4,3,1,0,0,2,1,1,0,6,0,0,0,0,1,0,0.206642,0.0699332,0.284255,0.246023,0.263956,0.297394,0.250733,0.56135,0.0907526,7.45591,0.284642,,0.129588,1.38785,-0.963774,59.4071,0.129588,0.23,-0.8098435997962952,0.30716049671173096,0.0158668,999,,,,"10199"
