Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Max Muncy","LAD",131,565,471,110,60,23,1,26,76,75,81,2,137,7,4,0,8,1,0,0.234111,0.144,0.243429,0.591549,0.35251,0.452936,0.351382,0.805446,0.218825,2.94428,0.270433,,-0.514103,83.2822,18.6802,129.244,-0.514103,-1.86,18.681844472885132,-1.1362156867980957,3.83448,142.5800018310547,,,,"13301"
"Pete Alonso","NYM",154,669,584,150,87,28,1,35,86,103,66,9,131,14,6,1,12,3,1,0.256691,0.0978757,0.19602,0.499314,0.343032,0.485393,0.354077,0.828424,0.228702,2.6525,0.27194,,-0.549939,100.153,23.576,135.324,-0.549939,-0.97,26.934485614299774,-13.00281310081482,3.82432,19.229999542236328,,,,"19251"
"Matt Chapman","TOR",154,659,576,128,67,27,2,32,84,89,70,0,189,9,4,1,9,3,1,0.222287,0.105833,0.286009,0.370034,0.3135,0.441959,0.329388,0.755458,0.219671,3.43913,0.267651,,-0.395205,85.6897,10.2858,116.127,-0.395205,1.43,11.572216838598251,3.806542992591858,3.81585,165.3800048828125,,,,"16505"
"Michael Harris II","ATL",141,608,559,150,96,32,4,18,82,68,39,3,141,6,3,1,12,19,4,0.26923,0.0642156,0.232145,0.276618,0.322675,0.438829,0.329469,0.761504,0.169599,6.07332,0.328602,,1.52665,79.0691,9.52556,110.147,1.52665,4.24,8.696733593940735,6.4159255027771,3.73141,26.649999618530273,,,,"25931"
"Corbin Carroll","ARI",128,544,484,123,77,27,6,12,70,55,49,3,140,6,3,1,9,16,3,0.254291,0.0910023,0.258342,0.352256,0.329621,0.413153,0.324126,0.742774,0.158863,6.93753,0.331361,,1.44951,68.4155,6.21221,107.15,1.44951,9.93,5.96826446056366,10.805136978626251,3.67942,73.12000274658203,,,,"25878"
"Bo Bichette","TOR",152,652,603,166,108,34,3,22,86,80,41,1,138,4,4,1,12,16,5,0.276277,0.0630705,0.211515,0.298185,0.324768,0.450911,0.335938,0.77568,0.174634,5.22682,0.323902,,0.506444,88.1818,13.5715,120.75,0.506444,-8.64,15.741900503635406,-1.6029634475708008,3.6625,12.579999923706055,,,,"19612"
"Yandy Díaz","TBR",141,600,517,141,99,25,2,15,72,65,74,2,81,5,4,1,17,3,1,0.271943,0.123255,0.134944,0.913377,0.365725,0.411867,0.343549,0.777592,0.139923,2.8298,0.296142,,-0.621415,84.725,16.1083,130.531,-0.621415,0.31,19.99543285369873,-4.51705402135849,3.62818,266.5799865722656,,,,"16578"
"Daulton Varsho","TOR",136,581,519,123,69,26,2,25,76,73,50,1,141,7,4,1,8,14,3,0.23618,0.0855175,0.24191,0.353509,0.309824,0.439675,0.32523,0.749499,0.203495,5.37432,0.273313,,0.909207,73.5916,7.1454,113.193,0.909207,10.19,9.536450266838074,6.350794553756714,3.60775,37.77000045776367,,,,"19918"
"Andrés Giménez","CLE",144,613,552,143,96,27,4,16,78,66,37,3,132,17,4,3,12,23,5,0.258723,0.0605483,0.2159,0.280446,0.323102,0.408702,0.319644,0.731804,0.149979,6.34455,0.311517,,1.98835,74.9237,4.81914,108.445,1.98835,3.08,7.81491482257843,5.651785135269165,3.46039,86.30999755859375,,,,"19950"
"Kyle Schwarber","PHI",143,611,521,124,61,22,1,40,88,100,80,4,176,6,3,0,9,4,2,0.237136,0.131323,0.288175,0.455704,0.343744,0.513787,0.367411,0.857531,0.276651,3.22367,0.270629,,-0.390244,97.86,27.9834,137.077,-0.390244,-6.2,25.93380293250084,-13.506927013397217,3.45968,60.650001525878906,,,,"16478"
"Jonah Heim","TEX",107,415,376,85,52,17,1,16,44,49,34,1,82,2,3,0,7,2,1,0.227364,0.081027,0.197751,0.409742,0.292747,0.403085,0.303325,0.695832,0.175721,2.74974,0.247911,,-0.270852,45.3874,-2.11844,97.0382,-0.270852,13.75,-1.6555536091327667,21.105499267578125,3.42893,247.5,,,,"16930"
"Bobby Witt Jr.","KCR",149,623,574,151,90,32,5,23,81,77,37,2,136,6,5,1,7,24,5,0.262247,0.0596488,0.217931,0.273704,0.311433,0.457405,0.330725,0.768838,0.195158,6.51446,0.302859,,2.28611,81.692,10.3886,113.136,2.28611,-5.36,11.50345754623413,1.1382551193237305,3.40877,7.880000114440918,,,,"25764"
"Tommy Edman","STL",147,632,578,150,104,30,4,12,79,60,42,2,106,6,4,1,11,25,6,0.25915,0.0667962,0.167291,0.39928,0.314631,0.385499,0.306865,0.70013,0.126349,6.25997,0.297067,,1.94811,70.8151,-1.44572,100.594,1.94811,2.41,2.38417249917984,8.716980218887329,3.39402,76.95999908447266,,,,"19470"
"Jorge Polanco","MIN",138,589,519,131,80,26,2,22,74,70,59,2,118,4,5,1,8,9,3,0.251563,0.100383,0.201239,0.498825,0.33014,0.436529,0.33354,0.766669,0.184966,4.55606,0.283664,,0.122379,78.4594,11.1264,119.813,0.122379,-2.35,13.251126028597355,-0.11895942687988281,3.34436,168.19000244140625,,,,"13152"
"Eugenio Suárez","SEA",144,609,529,115,65,20,1,29,69,81,67,1,185,8,4,1,9,0,0,0.218407,0.11069,0.304039,0.364066,0.313965,0.424794,0.323248,0.738759,0.206386,1.64952,0.270539,,-0.576574,76.2521,6.53701,115.946,-0.576574,0.32,10.363893985748291,1.9429710507392883,3.32724,158.0800018310547,,,,"12552"
