Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP,playerid
Alex Jackson,,6,26,23,4,1,0,1,3,3,2,10,1,0,0,0.188,0.27,0.381,0.651,0.281,0,0,0.1,999,17276
Rob Refsnyder,BOS,10,42,37,9,2,0,1,5,4,4,11,0,0,0,0.249,0.323,0.391,0.714,0.311,0,-0.1,0,999,13770
Brandon Drury,CIN,10,42,38,9,2,0,1,5,5,3,10,0,0,0,0.241,0.295,0.414,0.71,0.305,-0.1,0,0,999,11615
Rodolfo Castro,,5,21,19,4,1,0,1,2,3,1,5,0,0,0,0.23,0.278,0.422,0.7,0.298,0.1,0,0,999,21987
Alan Trejo,COL,21,91,84,20,5,0,3,10,10,5,22,1,1,1,0.241,0.284,0.406,0.691,0.295,0.5,-0.2,0,999,20056
Alfonso Rivas,CHC,23,98,86,21,4,0,2,12,9,9,24,1,0,0,0.248,0.329,0.368,0.697,0.307,0.4,-0.2,0,999,21560
Oswald Peraza,,3,14,13,3,1,0,0,2,1,1,3,0,1,0,0.249,0.299,0.385,0.684,0.297,0,0,0,600,sa3003305
Mark Kolozsvary,,11,45,40,7,2,0,1,4,4,4,15,1,0,0,0.188,0.275,0.331,0.606,0.269,0.4,-0.1,0,999,sa3004996
Clay Dungan,KCR,3,14,13,3,1,0,0,2,1,1,2,0,0,0,0.262,0.312,0.365,0.677,0.296,0,0,0,999,sa1169803
Sam Huff,,3,13,12,3,0,0,1,1,2,1,4,0,0,0,0.223,0.274,0.408,0.682,0.292,0,0,0,599,22209
Taylor Trammell,,8,35,31,6,1,0,1,4,4,3,11,0,1,0,0.206,0.292,0.36,0.653,0.287,0.2,0,0,600.9,19960
Mario Feliciano,,5,19,18,4,1,0,1,2,2,1,5,0,0,0,0.226,0.274,0.394,0.668,0.287,0,0,0,600.8,20263
Jahmai Jones,,10,42,38,9,2,0,1,4,4,3,11,0,1,0,0.226,0.293,0.372,0.665,0.29,-0.1,0,0,601,18872
Travis Shaw,,16,70,61,13,3,0,3,8,9,8,19,1,0,0,0.221,0.315,0.398,0.714,0.311,0.1,-0.2,0,600.8,11982
Gilberto Celestino,,10,42,38,9,2,0,1,5,4,3,9,0,0,0,0.238,0.302,0.373,0.676,0.295,-0.3,0,0,999,20233
Joe Panik,,37,161,145,35,7,0,2,16,13,13,21,1,1,0,0.244,0.311,0.34,0.651,0.287,-1.1,-0.2,0,999,11936
Roman Quinn,,16,70,62,14,2,1,1,8,5,5,20,1,4,1,0.219,0.292,0.334,0.627,0.278,-0.1,0.2,0,999,13546
Jonathan Araúz,BOS,3,14,13,3,1,0,0,2,2,1,3,0,0,0,0.239,0.305,0.384,0.688,0.3,0.1,0,0,999,20275
Jake Cave,MIN,11,49,44,10,2,0,1,6,5,3,15,1,0,0,0.237,0.3,0.395,0.695,0.301,-0.2,-0.1,0,999,14477
Drew Waters,,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.236,0.3,0.381,0.681,0.297,0.1,0,0,600.3,sa3004378
Max Schrock,CIN,16,70,64,16,3,0,2,8,7,5,13,1,1,0,0.252,0.307,0.395,0.702,0.303,0,-0.1,0,600.5,17750
Kyle Garlick,MIN,5,21,19,4,1,0,1,3,3,1,6,0,0,0,0.231,0.282,0.45,0.732,0.31,-0.1,0,0,999,18063
Ender Inciarte,NYY,6,28,25,6,1,0,0,3,2,2,6,0,1,0,0.231,0.3,0.328,0.629,0.278,0.1,0,0,600,4922
Yonathan Daza,COL,34,147,136,37,7,1,2,15,13,8,26,1,2,1,0.276,0.32,0.385,0.705,0.307,0.9,-0.2,0,600,15794
Jhonny Pereda,SFG,3,13,11,3,0,0,0,1,1,1,2,0,0,0,0.23,0.303,0.323,0.626,0.278,0,0,0,999,sa735866
Zach Reks,,5,21,19,4,1,0,1,3,2,2,6,0,0,0,0.23,0.31,0.398,0.708,0.308,-0.1,0,0,999,19667
Juan Lagares,,23,98,91,23,5,1,2,11,10,5,24,1,1,1,0.252,0.292,0.379,0.671,0.289,0.2,-0.1,0,999,5384
José Rondón,,3,14,13,3,1,0,1,2,2,1,3,0,0,0,0.233,0.287,0.412,0.7,0.3,0,0,0,999,14140
Kyle Stowers,BAL,3,14,12,3,1,0,1,2,2,1,5,0,0,0,0.234,0.308,0.431,0.739,0.317,0,0,0,999,sa1115829
Ryan McKenna,BAL,10,42,37,8,2,0,1,5,4,4,13,0,1,0,0.22,0.305,0.375,0.68,0.298,0,0,0,999,19928
Rafael Marchan,,10,38,35,8,1,0,1,4,3,3,7,0,0,0,0.227,0.29,0.329,0.619,0.274,0.2,0,0,999,21646
Travis Jankowski,,6,28,24,6,1,0,0,3,2,3,6,0,1,0,0.236,0.328,0.314,0.642,0.287,-0.2,0,0,999,13768
Anthony Bemboom,BAL,3,13,11,2,0,0,0,1,1,1,3,0,0,0,0.203,0.278,0.336,0.614,0.271,0.1,0,0,999,13854
Donny Sands,,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.234,0.288,0.393,0.68,0.294,-0.1,0,0,999,sa875201
Tim Beckham,MIN,6,28,26,6,1,0,1,3,3,2,7,0,0,0,0.236,0.29,0.41,0.7,0.301,-0.5,0,0,999,7949
Nick Maton,PHI,11,49,43,9,2,0,1,5,5,4,13,1,1,0,0.217,0.295,0.348,0.643,0.283,0,-0.1,0,999,21635
Meibrys Viloria,TEX,3,13,11,2,0,0,0,1,1,1,4,0,0,0,0.214,0.292,0.334,0.626,0.277,0,0,0,999,17109
Mark Vientos,,2,7,6,1,0,0,0,1,1,0,2,0,0,0,0.232,0.287,0.439,0.726,0.308,0,0,0,999,sa3004720
Travis Demeritte,,3,14,12,3,1,0,1,2,2,1,5,0,0,0,0.228,0.306,0.44,0.747,0.32,0,0,0,999,15958
Brendan Donovan,,2,7,6,2,0,0,0,1,1,1,1,0,0,0,0.25,0.32,0.374,0.694,0.304,0,0,0,600.5,sa3006675
Keston Hiura,MIL,53,231,206,47,10,1,9,27,29,18,77,5,3,2,0.227,0.303,0.417,0.72,0.311,-0.6,-0.1,0,403.9,20003
Otto Lopez,,3,14,13,3,1,0,0,2,1,1,3,0,0,0,0.256,0.308,0.37,0.678,0.295,0,0,0,999,19608
Tucupita Marcano,,3,14,12,3,0,0,0,2,1,1,2,0,0,0,0.241,0.313,0.338,0.651,0.289,0.1,0,0,600.6,22871
Franchy Cordero,BOS,3,14,13,3,1,0,0,2,2,1,4,0,0,0,0.241,0.311,0.416,0.726,0.313,0,0,0,999,14567
Luis Barrera,,8,35,32,7,1,0,0,4,3,2,8,0,1,0,0.232,0.289,0.339,0.627,0.275,0.1,0,0,999,19615
Kevin Padlo,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.204,0.281,0.383,0.665,0.288,0,0,0,600.3,16593
Jaylin Davis,,3,14,13,3,1,0,1,2,2,1,4,0,0,0,0.225,0.296,0.409,0.705,0.304,0,0,0,999,19552
Luke Williams,SFG,5,21,19,4,1,0,0,2,2,2,5,0,1,0,0.227,0.292,0.341,0.634,0.278,0.1,0,0,999,19931
Miles Mastrobuoni,TBR,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.241,0.309,0.335,0.644,0.285,0,0,0,999,sa918318
Nick Ciuffo,,3,13,12,2,0,0,0,1,1,1,4,0,0,0,0.201,0.259,0.337,0.597,0.26,0.1,0,0,999,16291
Adam Haseley,,5,21,19,5,1,0,1,2,2,1,5,0,0,0,0.242,0.301,0.372,0.673,0.293,0,0,0,600.9,19878
Alex De Goti,HOU,3,14,13,3,1,0,0,1,1,1,4,0,0,0,0.216,0.282,0.33,0.612,0.27,0.1,0,0,999,19477
Tony Wolters,LAD,3,13,11,2,0,0,0,1,1,1,3,0,0,0,0.214,0.294,0.303,0.597,0.267,0.1,0,0,999,11470
Zach McKinstry,,2,7,6,2,0,0,0,1,1,1,2,0,0,0,0.237,0.301,0.413,0.714,0.307,0,0,0,599.4,19392
Yolbert Sanchez,CHW,2,7,7,2,0,0,0,1,1,0,1,0,0,0,0.269,0.304,0.376,0.68,0.295,0,0,0,999,sa3011471
Travis Blankenhorn,,2,7,6,1,0,0,0,1,1,0,2,0,0,0,0.231,0.288,0.405,0.693,0.298,0,0,0,999,18395
Ronald Torreyes,PHI,5,21,19,5,1,0,0,2,2,1,3,0,0,0,0.248,0.291,0.362,0.653,0.283,0.1,0,0,600.9,11400
Lewis Brinson,,23,98,91,20,4,0,3,10,12,5,28,1,1,0,0.219,0.271,0.368,0.638,0.276,-0.2,0,0,601,14352
Alejo Lopez,,2,7,6,2,0,0,0,1,1,1,1,0,0,0,0.274,0.334,0.37,0.705,0.31,0,0,0,999,21127
Anthony Alford,PIT,76,329,293,66,14,1,9,38,37,29,113,5,11,5,0.225,0.304,0.38,0.684,0.298,-0.6,-0.2,0,575.1,14329
Stuart Fairchild,,3,14,13,3,1,0,0,2,1,1,4,0,0,0,0.229,0.302,0.376,0.678,0.297,0,0,0,999,20321
Shogo Akiyama,CIN,5,21,19,5,1,0,0,2,2,2,4,0,0,0,0.255,0.325,0.378,0.703,0.308,0,-0.1,0,600.8,27461
P.J. Higgins,CHC,2,6,6,1,0,0,0,1,1,1,1,0,0,0,0.226,0.296,0.336,0.632,0.279,0,0,0,999,18433
Khalil Lee,,3,14,12,3,1,0,0,2,1,2,5,0,0,0,0.209,0.316,0.355,0.67,0.299,0,0,0,596.7,19952
Lucius Fox,WSN,10,42,37,8,2,0,1,5,4,4,11,0,2,1,0.216,0.299,0.331,0.629,0.28,-0.1,0.1,0,999,sa914200
Tyler White,,2,7,6,1,0,0,0,1,1,1,1,0,0,0,0.24,0.338,0.395,0.733,0.322,0,0,0,999,15564
Jonah Bride,,5,21,18,4,1,0,1,2,2,2,5,0,0,0,0.223,0.307,0.358,0.664,0.293,0.1,0,0,999,sa3007516
Chadwick Tromp,,2,6,6,1,0,0,0,1,1,0,2,0,0,0,0.218,0.271,0.372,0.644,0.278,0,0,0,999,16953
Ivan Castillo,KCR,2,7,7,2,0,0,0,1,1,0,1,0,0,0,0.256,0.295,0.356,0.651,0.282,0,0,0,999,15971
Jake Lamb,LAD,36,154,134,28,6,0,5,19,20,16,43,2,0,0,0.208,0.302,0.381,0.682,0.299,-0.8,-0.2,0,999,13329
Sebastian Rivero,,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.22,0.273,0.334,0.608,0.265,0,0,0,999,21735
Micker Adolfo,CHW,3,14,13,3,1,0,1,2,2,1,5,0,0,0,0.217,0.279,0.419,0.698,0.298,-0.1,0,0,999,sa830303
Cody Thomas,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.207,0.272,0.395,0.667,0.287,0,0,0,999,sa738459
Tim Lopes,COL,2,7,6,2,0,0,0,1,1,0,2,0,0,0,0.255,0.31,0.401,0.71,0.307,0,0,0,999,14137
Khris Davis,,26,112,101,23,4,0,5,13,16,9,31,1,0,0,0.225,0.295,0.432,0.727,0.311,0,-0.2,0,999,9112
Wilmer Difo,ARI,26,112,101,24,4,1,2,12,10,9,25,1,1,1,0.241,0.304,0.346,0.65,0.285,-0.1,0,0,999,14320
Jonathan Davis,MIL,3,14,12,2,0,0,0,2,1,1,4,0,0,0,0.204,0.295,0.331,0.626,0.28,0,0,0,999,15104
Zack Collins,TOR,10,38,32,7,2,0,1,5,4,5,12,0,0,0,0.205,0.318,0.376,0.694,0.306,-0.5,0,0,599.6,19181
Albert Almora Jr.,,3,14,13,3,1,0,0,2,1,1,3,0,0,0,0.245,0.291,0.388,0.679,0.292,0,0,0,999,14109
Andrew Knapp,CIN,5,19,16,3,1,0,0,2,2,2,6,0,0,0,0.211,0.312,0.335,0.648,0.289,-0.3,0,0,600.9,14942
Domingo Leyba,SDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,16404
Andrew Stevenson,,3,14,13,3,1,0,0,2,1,1,4,0,0,0,0.251,0.309,0.385,0.694,0.301,0,0,0,597.8,17932
Steven Souza Jr.,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,0.198,0.286,0.361,0.647,0.283,0,0,0,999,5667
