Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Zac Gallen","ARI",12,11,,3.82958,32,32,0,0,199,834,188,91,85,24,55,,8,205,9.26701,2.51048,3.69133,1.097,0.24537,0.066472,0.1788979470729828,0.243496,1.22267,0.301683,0.724781,,,3.74226,3.68371,4.02355,999,,,,"19291"
"Gerrit Cole","NYY",14,10,,3.72369,32,32,0,0,203,840,179,90,84,30,54,,7,228,10.1358,2.39437,4.23318,1.313,0.271639,0.064169,0.2074699103832245,0.229918,1.15059,0.286842,0.744809,,,3.79531,3.64204,3.70296,999,,,,"13125"
"George Kirby","SEA",12,11,,3.5947,32,32,0,0,194,796,183,84,77,25,33,,8,186,8.64905,1.52915,5.65612,1.18,0.234197,0.041406,0.19279103726148605,0.242696,1.11464,0.290522,0.731426,,,3.66965,3.55928,3.57176,999,,,,"25436"
"Max Fried","ATL",14,8,,3.56947,31,31,0,0,185,773,181,80,73,20,46,,7,177,8.61735,2.26548,3.80376,0.981,0.228743,0.0601359,0.1686069406569004,0.251085,1.23006,0.307191,0.737638,,,3.62528,3.54144,4.11385,999,,,,"13743"
"Luis Castillo","SEA",12,11,,3.60022,32,32,0,0,197,824,176,86,79,24,59,,8,209,9.50828,2.71154,3.5066,1.117,0.253026,0.072157,0.1808689460158348,0.232561,1.19332,0.289224,0.743663,,,3.77444,3.43225,3.5368,999,,,,"15689"
"Zach Eflin","TBR",12,9,,3.60607,31,31,0,0,184,758,175,80,74,23,35,,6,178,8.69568,1.71678,5.0651,1.135,0.23459,0.046315,0.18827496841549873,0.244565,1.14277,0.294925,0.731302,,,3.63994,3.39912,3.4143,999,,,,"13774"
"Justin Steele","CHC",12,10,,3.68931,31,31,0,0,181,756,171,81,74,20,55,,8,174,8.66502,2.74042,3.16193,1,0.230682,0.072956,0.15772602707147598,0.246452,1.24784,0.302211,0.732622,,,3.81165,3.34873,3.68541,999,,,,"17312"
"Jesús Luzardo","MIA",11,10,,3.74343,31,31,0,0,181,761,160,81,75,23,63,,7,206,10.2435,3.12346,3.27952,1.152,0.2702,0.08239,0.18780992180109024,0.231048,1.23061,0.295374,0.743317,,,3.80718,3.3152,3.73415,999,,,,"19959"
"Kodai Senga","NYM",12,10,,3.78013,31,31,0,0,187,794,161,85,78,22,79,,7,216,10.3986,3.80705,2.73141,1.08,0.271404,0.0993641,0.17203999310731888,0.227132,1.28589,0.294371,0.742944,,,3.87855,3.30122,3.12203,999,,,,"31838"
"Freddy Peralta","MIL",11,9,,3.67025,29,29,0,0,165,689,137,73,67,22,57,,8,198,10.7869,3.11273,3.46544,1.212,0.287652,0.083006,0.20464587211608887,0.219865,1.17591,0.284754,0.746609,,,3.78282,3.26676,3.39742,999,,,,"18679"
"Blake Snell",,12,9,,3.65177,31,31,0,0,174,737,141,76,70,20,80,,5,218,11.302,4.15314,2.72131,1.049,0.295861,0.10872,0.1871410384774208,0.216851,1.27534,0.292888,0.751452,,,3.73257,3.265,3.69416,999,,,,"13543"
"Jordan Montgomery",,12,11,,3.93708,32,32,0,0,190,803,187,90,83,24,52,,7,173,8.20139,2.44489,3.35451,1.145,0.21597,0.064382,0.15158787369728088,0.251288,1.25486,0.297819,0.724725,,,4.00665,3.19011,3.29813,999,,,,"16511"
"Yoshinobu Yamamoto",,11,9,,3.84193,29,29,0,0,166,693,153,76,71,22,46,,6,178,9.6217,2.51174,3.83069,1.208,0.256258,0.066896,0.18936195969581604,0.238255,1.19786,0.295726,0.730732,,,3.80859,3.14105,3.15516,999,,,,"sa3023345"
