Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Alec Bohm","PHI",143,616,560,155,105,30,1,19,73,78,43,1,109,6,5,2,,4,2,0.276696,0.0701999,0.176611,0.397482,0.332022,0.436104,0.331376,0.768127,0.159408,3.25002,0.311292,-0.581,-1.13497,81.7075,6.65145,106.755,-1.71597,-2.31335,3.439050793647766,-2.21335232257843,2.21432,999,,,,"21618"
"Eloy Jiménez","CHW",141,609,552,153,95,27,1,29,77,90,46,2,125,4,5,2,,1,0,0.276175,0.0757,0.204909,0.369432,0.334039,0.487064,0.349566,0.821103,0.210889,2.03095,0.305696,-0.072,-1.10593,89.9788,15.7757,122.338,-1.17793,-0.177621,15.122196197509766,-13.702620297670364,2.20484,999,,,,"17484"
"Josh Lowe","TBR",125,539,485,125,75,30,2,18,67,70,45,2,148,3,4,1,,22,6,0.258059,0.084,0.274859,0.305611,0.323202,0.439917,0.327529,0.763119,0.181858,5.67895,0.331922,0.302,0.735657,69.7719,4.09789,112.641,1.03766,0.429234,9.201777219772339,-5.44576621055603,2.20067,999,,,,"19953"
"Adolis García","TEX",149,644,580,140,78,28,2,31,82,95,52,1,184,6,5,1,,13,5,0.240949,0.081,0.286343,0.282878,0.308358,0.457072,0.32719,0.76543,0.216123,4.6476,0.294043,0.598,-0.439078,83.1827,4.71504,105.413,0.158922,3.36872,4.33568699657917,-4.231282472610474,2.19228,999,,,,"19287"
"Thairo Estrada","SFG",139,602,548,143,96,27,2,17,73,67,35,1,119,11,4,4,,22,8,0.260291,0.058,0.197187,0.294137,0.314967,0.411592,0.314879,0.726559,0.1513,5.39596,0.30152,0.912,-0.0654464,71.6023,-1.74794,99.9737,0.846554,-1.92,0.8269206788390875,0.5300002098083496,2.17986,999,,,,"16426"
"Jack Suwinski","PIT",118,511,436,99,54,20,1,24,65,70,64,2,155,6,4,1,,9,4,0.226635,0.1257,0.303501,0.414167,0.331029,0.441892,0.334028,0.772921,0.215257,4.18472,0.287655,0.428,-0.777778,68.9053,6.64291,107.666,-0.349778,-1.01356,4.50296676158905,-0.18856161832809448,2.16571,999,,,,"22244"
"Josh Naylor","CLE",133,574,519,147,92,32,1,23,74,85,44,7,87,5,4,1,,8,3,0.283972,0.0775,0.152199,0.509202,0.344027,0.480782,0.349133,0.824809,0.19681,3.53132,0.301186,-1.079,-0.873922,84.6015,14.663,125.147,-1.95292,0.050439,15.342173337936401,-13.199560977518559,2.15836,999,,,,"18839"
"Jake Burger","MIA",141,609,554,138,80,28,2,28,74,87,40,1,165,9,4,2,,2,1,0.249529,0.0665,0.270418,0.245916,0.309075,0.458691,0.328033,0.767766,0.209162,3.30333,0.302152,-0.096,-0.994873,79.0881,4.88503,104.592,-1.09087,-1.78693,2.3732686042785645,-1.6119310855865479,2.14425,999,,,,"22275"
"Leody Taveras","TEX",136,588,532,138,89,29,3,17,70,69,43,1,130,4,5,4,,17,6,0.258756,0.0739,0.220622,0.334962,0.316372,0.417622,0.317187,0.733994,0.158866,5.22257,0.310181,0.66,-0.147476,71.0645,-0.579852,98.4794,0.512524,-0.027,-0.558795154094696,2.072999903932214,2.14313,999,,,,"18900"
"Danny Jansen","TOR",113,462,409,96,53,20,1,23,58,67,41,1,94,8,3,1,,1,1,0.235098,0.0884,0.20395,0.433439,0.314294,0.451481,0.328208,0.765776,0.216383,2.50717,0.249036,-0.322862,-0.771501,60.1171,3.77638,109.931,-1.09436,-0.726739,4.408113479614258,0.8232614398002625,2.1422,999,,,,"16535"
"Anthony Santander","BAL",151,651,584,147,85,32,1,29,82,93,53,1,144,8,5,1,,4,2,0.251285,0.0814,0.22126,0.367893,0.320168,0.458334,0.33374,0.778502,0.207049,3.15575,0.283009,0.119524,-1.13109,87.6282,8.30764,114.669,-1.01156,-2.75562,10.431098580360413,-11.080620050430298,2.14081,999,,,,"14551"
"TJ Friedl","CIN",134,581,509,130,83,22,6,18,81,62,53,1,103,10,4,5,,21,7,0.25518,0.0916,0.176903,0.517798,0.335093,0.430037,0.33173,0.76513,0.174857,6.54245,0.284787,1.061,0.0881607,77.2357,6.44425,102.41,1.14916,-3.569,2.8837918043136597,-1.493999719619751,2.11182,999,,,,"19522"
"DJ LeMahieu","NYY",136,588,512,131,93,22,2,14,76,57,63,1,111,5,4,5,,5,2,0.256806,0.1068,0.188734,0.565876,0.341149,0.390513,0.322152,0.731662,0.133707,3.89837,0.300304,-1.218,-1.02979,73.4889,1.84452,106.399,-2.24779,0.226274,2.260852813720703,-1.1737261563539505,2.10054,999,,,,"9874"
