"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
662850,"2022-04-21",1,"N","New York Yankees","Detroit Tigers",0,3,0,1
663225,"2022-04-21",1,"N","Toronto Blue Jays","Boston Red Sox",3,2,2,0
662742,"2022-04-21",1,"N","Minnesota Twins","Kansas City Royals",1,0,1,0
662391,"2022-04-21",1,"N","Baltimore Orioles","Oakland Athletics",4,6,1,4
662558,"2022-04-21",1,"N","Arizona Diamondbacks","Washington Nationals",4,3,4,2
661391,"2022-04-21",1,"N","St. Louis Cardinals","Miami Marlins",0,5,0,2
663145,"2022-04-21",1,"N","Pittsburgh Pirates","Chicago Cubs",4,3,4,3
662177,"2022-04-21",1,"N","Texas Rangers","Seattle Mariners",8,6,6,5
663169,"2022-04-22",1,"N","St. Louis Cardinals","Cincinnati Reds",4,2,4,1
662557,"2022-04-22",1,"N","San Francisco Giants","Washington Nationals",7,1,7,0
661311,"2022-04-22",1,"N","Cleveland Guardians","New York Yankees",1,4,1,4
661621,"2022-04-22",1,"N","Milwaukee Brewers","Philadelphia Phillies",2,4,1,1
661914,"2022-04-22",1,"N","Boston Red Sox","Tampa Bay Rays",4,3,4,2
661569,"2022-04-22",1,"N","Miami Marlins","Atlanta Braves",0,3,0,1
663195,"2022-04-22",1,"N","Pittsburgh Pirates","Chicago Cubs",4,2,4,2
662922,"2022-04-22",1,"N","Toronto Blue Jays","Houston Astros",4,3,3,3
661755,"2022-04-22",1,"N","Chicago White Sox","Minnesota Twins",1,2,1,0
661037,"2022-04-22",1,"N","Baltimore Orioles","Los Angeles Angels",5,3,2,0
663394,"2022-04-22",1,"N","New York Mets","Arizona Diamondbacks",6,5,1,1
662230,"2022-04-22",1,"N","Los Angeles Dodgers","San Diego Padres",6,1,2,1
662175,"2022-04-22",1,"N","Kansas City Royals","Seattle Mariners",1,4,0,4
662390,"2022-04-22",1,"N","Texas Rangers","Oakland Athletics",8,1,5,1
662549,"2022-04-23",1,"N","San Francisco Giants","Washington Nationals",5,2,5,2
661310,"2022-04-23",1,"N","Cleveland Guardians","New York Yankees",4,5,2,2
662848,"2022-04-23",1,"S","Colorado Rockies","Detroit Tigers",0,13,0,5
662849,"2022-04-23",2,"S","Colorado Rockies","Detroit Tigers",3,2,3,0
663144,"2022-04-23",1,"N","Pittsburgh Pirates","Chicago Cubs",0,21,0,16
661752,"2022-04-23",1,"N","Chicago White Sox","Minnesota Twins",2,9,0,8
661620,"2022-04-23",1,"N","Milwaukee Brewers","Philadelphia Phillies",5,3,4,3
662389,"2022-04-23",1,"N","Texas Rangers","Oakland Athletics",2,0,0,0
663100,"2022-04-23",1,"N","St. Louis Cardinals","Cincinnati Reds",5,0,2,0
662875,"2022-04-23",1,"N","Toronto Blue Jays","Houston Astros",3,2,1,2
661941,"2022-04-23",1,"N","Boston Red Sox","Tampa Bay Rays",2,3,0,0
661568,"2022-04-23",1,"N","Miami Marlins","Atlanta Braves",9,7,3,5
663384,"2022-04-23",1,"N","New York Mets","Arizona Diamondbacks",2,5,2,4
662276,"2022-04-23",1,"N","Los Angeles Dodgers","San Diego Padres",2,3,0,2
661035,"2022-04-23",1,"N","Baltimore Orioles","Los Angeles Angels",5,4,2,2
662191,"2022-04-23",1,"N","Kansas City Royals","Seattle Mariners",7,13,4,5
662853,"2022-04-24",1,"N","Colorado Rockies","Detroit Tigers",6,2,6,1
661931,"2022-04-24",1,"N","Boston Red Sox","Tampa Bay Rays",2,5,2,3
662539,"2022-04-24",1,"N","San Francisco Giants","Washington Nationals",12,3,5,3
661590,"2022-04-24",1,"N","Miami Marlins","Atlanta Braves",5,4,2,1
661317,"2022-04-24",1,"N","Cleveland Guardians","New York Yankees",2,10,0,6
663111,"2022-04-24",1,"N","St. Louis Cardinals","Cincinnati Reds",1,4,0,3
662921,"2022-04-24",1,"N","Toronto Blue Jays","Houston Astros",7,8,2,5
661781,"2022-04-24",1,"N","Chicago White Sox","Minnesota Twins",4,6,2,1
663166,"2022-04-24",1,"N","Pittsburgh Pirates","Chicago Cubs",4,3,4,2
661033,"2022-04-24",1,"N","Baltimore Orioles","Los Angeles Angels",6,7,3,6
662388,"2022-04-24",1,"N","Texas Rangers","Oakland Athletics",0,2,0,2
663361,"2022-04-24",1,"N","New York Mets","Arizona Diamondbacks",6,2,1,1
662274,"2022-04-24",1,"N","Los Angeles Dodgers","San Diego Padres",10,2,8,1
662188,"2022-04-24",1,"N","Kansas City Royals","Seattle Mariners",4,5,2,2
661640,"2022-04-24",1,"N","Milwaukee Brewers","Philadelphia Phillies",1,0,0,0
661210,"2022-04-25",1,"N","San Francisco Giants","Milwaukee Brewers",4,2,0,1
661639,"2022-04-25",1,"N","Colorado Rockies","Philadelphia Phillies",2,8,2,4
661760,"2022-04-25",1,"N","Boston Red Sox","Toronto Blue Jays",2,6,0,1
662008,"2022-04-25",1,"N","New York Mets","St. Louis Cardinals",5,2,0,0
661979,"2022-04-25",1,"N","Houston Astros","Texas Rangers",2,6,1,1
661034,"2022-04-25",1,"N","Cleveland Guardians","Los Angeles Angels",0,3,0,1
663382,"2022-04-25",1,"N","Los Angeles Dodgers","Arizona Diamondbacks",4,0,3,0
662297,"2022-04-26",1,"N","Milwaukee Brewers","Pittsburgh Pirates",12,8,4,4
663079,"2022-04-26",1,"N","San Diego Padres","Cincinnati Reds",9,6,9,5
661929,"2022-04-26",1,"N","Seattle Mariners","Tampa Bay Rays",8,4,7,0
661567,"2022-04-26",1,"N","Colorado Rockies","Philadelphia Phillies",3,10,0,7
662540,"2022-04-26",1,"N","Miami Marlins","Washington Nationals",5,2,3,1
661309,"2022-04-26",1,"N","Baltimore Orioles","New York Yankees",8,12,0,6
661758,"2022-04-26",1,"N","Boston Red Sox","Toronto Blue Jays",5,6,1,2
661536,"2022-04-26",1,"N","Kansas City Royals","Chicago White Sox",6,0,2,0
661589,"2022-04-26",1,"N","Chicago Cubs","Atlanta Braves",1,3,1,3
661733,"2022-04-26",1,"N","Detroit Tigers","Minnesota Twins",4,5,0,3
662007,"2022-04-26",1,"N","New York Mets","St. Louis Cardinals",3,0,2,0
661980,"2022-04-26",1,"N","Houston Astros","Texas Rangers",5,1,4,1
661032,"2022-04-26",1,"N","Cleveland Guardians","Los Angeles Angels",1,4,0,4
663383,"2022-04-26",1,"N","Los Angeles Dodgers","Arizona Diamondbacks",3,5,3,3
662086,"2022-04-26",1,"N","Oakland Athletics","San Francisco Giants",2,8,1,5
662048,"2022-04-27",1,"N","New York Mets","St. Louis Cardinals",5,10,4,8
661533,"2022-04-27",1,"N","Kansas City Royals","Chicago White Sox",3,7,0,3
663393,"2022-04-27",1,"N","Los Angeles Dodgers","Arizona Diamondbacks",1,3,0,1
662289,"2022-04-27",1,"N","Milwaukee Brewers","Pittsburgh Pirates",3,1,0,0
663148,"2022-04-27",1,"N","San Diego Padres","Cincinnati Reds",8,5,6,1
661909,"2022-04-27",1,"N","Seattle Mariners","Tampa Bay Rays",2,3,0,3
661638,"2022-04-27",1,"N","Colorado Rockies","Philadelphia Phillies",3,7,2,4
662546,"2022-04-27",1,"N","Miami Marlins","Washington Nationals",2,1,2,0
661306,"2022-04-27",1,"N","Baltimore Orioles","New York Yankees",2,5,0,2
